truck_id,time_min,hour_of_shift,shovel_queue_len,wait_shovel_min,load_time_min,haul_time_min,dump_queue_len,wait_dump_min,dump_time_min,return_time_min,total_cycle_time_min
Truck_7,412.6336205543637,6,0,0.0,5.770721009270403,17.11012014389229,0,0.0,3.4224038899970424,14.990446501804854,41.29369154496459
Truck_0,417.3978756106444,6,0,0.0,6.232076223640547,18.65871677491782,0,0.0,3.3387471002301936,11.81856309418066,40.04810319296922
Truck_9,429.95775098105383,7,0,0.0,4.280025676081664,11.133260565790806,0,0.0,3.0923754562736576,9.368966677689798,27.874628375835925
Truck_4,420.2611120771803,7,0,0.0,6.222911767907988,19.737894239223294,0,2.2414945948883656,3.3446957438025606,8.151230671954863,39.69822701777707
Truck_2,430.7252936725753,7,0,0.0,4.442381277625088,10.444732341701751,0,0.015008417530850693,3.2897345339037543,13.431484889931369,31.623341460692814
Truck_8,437.8120764713654,7,0,0.0,5.143886849679177,11.59209012450799,0,0.0,1.4983109238063435,10.941233093543701,29.175520991537212
Truck_6,436.85137049306445,7,0,0.0,5.7510363846917585,18.381236025304872,0,0.0,1.9890170350618064,13.358587885766724,39.47987733082516
Truck_5,438.4840182858013,7,0,0.0,4.868893578308757,17.70308642403984,0,0.0,3.0063628308898274,14.5131577560972,40.091500589335624
Truck_3,449.91107571694647,7,0,0.0,5.229526016915997,12.228336734831657,0,0.0,2.779911681068029,9.228703264002775,29.46647769681846
Truck_1,451.61908497749715,7,0,0.0,4.990279615310612,10.620633927354163,0,0.0,3.0490019613920936,14.463059222541233,33.1229747265981
Truck_7,453.9273120993283,7,0,0.0,4.708061808017135,18.508513187254152,0,0.0,3.006033310040152,8.084463281815147,34.307071587126586
Truck_0,457.4459788036136,7,0,0.0,3.366037745361325,17.094917459055978,0,0.4825012467815668,2.0575079501949176,10.410799658041299,33.411764059435086
Truck_9,457.83237935688976,7,0,0.0,3.3311705154247306,15.303074710659246,0,0.0,1.9228106718387608,14.15540497683179,34.71246087475453
Truck_4,459.9593390949574,7,0,0.0,4.723577986016721,15.135438301135025,0,0.33156502253058306,2.609059772021965,11.715545857295353,34.51518693899965
Truck_2,462.3486351332681,7,0,0.0,5.657131088550273,14.898621726563022,0,0.0,3.1382752279317288,9.900981929187026,33.59500997223205
Truck_8,466.9875974629026,7,0,0.0,4.4584421686626,12.898728196058187,0,0.0,3.6730598926278617,10.757280323038913,31.78751058038756
Truck_6,476.3312478238896,7,0,0.0,4.2723662228556805,15.67198850870841,0,0.0,3.2522804697260312,12.767340433992501,35.96397563528262
Truck_5,478.57551887513694,7,0,0.0,6.11062475102824,15.325687717128915,0,0.0,3.4193740479379926,11.694263274175341,36.54994979027049
Truck_3,479.37755341376493,7,0,0.0,6.234400359397171,17.12914606220926,0,0.0,2.9694869438868636,9.597221364268592,35.930254729761884
Truck_1,484.74205970409525,8,0,0.0,6.21904408572027,15.07529102216796,0,0.0,2.5844794531228104,9.109840823559352,32.98865538457039
Truck_7,488.23438368645486,8,0,0.0,4.854070431620698,11.5309259850805,0,0.0,3.4874534745783876,13.698540650085363,33.57099054136495
Truck_0,490.8577428630487,8,0,0.0,5.793529998482825,14.946548058785993,0,0.0,1.3392322050286793,13.397242634214194,35.47655289651169
Truck_8,498.7751080432902,8,0,0.0,5.361884858791598,12.13646844533838,0,0.0,3.2153299052041575,10.730868056623876,31.44455126595801
Truck_4,494.47452603395703,8,0,0.0,5.61405926885044,17.09855260952645,0,1.1913203568063864,3.7220900097057665,9.624838441882616,37.25086068677166
Truck_9,492.5448402316443,8,0,0.0,5.9082362773309,17.375066827791898,0,0.0,2.550314932373226,13.646526022946318,39.48014406044234
Truck_2,495.94364510550014,8,0,0.0,5.98108789682334,15.734116616974461,1,1.8299416333263707,3.419073351488919,13.063665371209368,40.02788486982246
Truck_3,515.3078081435268,8,0,0.0,5.491361374435655,15.395665999010362,0,0.0,3.748445408574298,9.808829098778006,34.44430188079832
Truck_6,512.2952234591722,8,0,0.0,5.951166441069631,18.537240531061343,0,0.0,2.327022842641213,12.30952117269328,39.12495098746547
Truck_1,517.7307150886656,8,0,0.0,5.4735933980547316,16.383317286754618,0,0.0,3.676985829983437,14.285514930579666,39.81941144537245
Truck_7,521.8053742278198,8,0,0.0,5.059621806231348,17.477016621881717,0,0.0,3.159659770506323,10.31911520347171,36.0154134020911
Truck_8,530.2196593092482,8,0,0.0,4.973162501294496,12.227367162318387,0,0.08148345357813014,2.4239106513728075,8.557665751180025,28.263589519743846
Truck_0,526.3342957595604,8,0,0.0,5.251811779589161,15.340732879682491,0,0.0,1.3369416812499821,11.221495297952742,33.15098163847438
